make,model,year,price,odometer
Alfa-Romeo,Junior,2024,29500.0,1
Jaguar,XF,2013,14500.0,73430
Volkswagen,Touran,2017,12900.0,172000
Ferrari,F8 Tributo,2020,279900.0,14932
Skoda,Scala,2020,17950.0,31810
Nissan,X-Trail,2020,23950.0,39897
Volvo,S60,2017,18950.0,99990
Renault,Master,2017,12500.0,99990
Renault,Talisman,2017,17740.0,42900
Jaguar,F-Pace,2020,24900.0,87782
Peugeot,208,2021,13900.0,55750
Tesla,Model S,2017,26950.0,146997
Toyota,Corolla,2020,19700.0,149126
Aston-Martin,DB12,2024,329950.0,4946
BMW,X3,2009,9850.0,171500
CUPRA,Formentor,2021,27990.0,47592
Dacia,Sandero,2023,14950.0,31910
Opel,Mokka-E,2021,15450.0,41445
Lexus,RC F,2016,69000.0,53000
Audi,A4,2008,3300.0,236270
Hyundai,TUCSON,2018,18490.0,125000
Land-Rover,Range Rover Evoque,2014,15900.0,142000
Alfa-Romeo,MiTo,2012,6900.0,122703
Dodge,RAM,2023,101580.0,16
Citroen,C3 Aircross,2019,12900.0,58300
Nissan,Juke,2024,20810.0,3750
Rolls-Royce,Dawn,2020,375000.0,23651
Toyota,Corolla,2019,19900.0,40274
BMW,520,2018,20000.0,131000
Honda,Civic,2010,18990.0,93800
Peugeot,5008,2024,29700.0,3000
Toyota,Yaris,2013,8330.0,160535
Jeep,Renegade,2022,14900.0,90000
BMW,320,2008,7500.0,174180
Land-Rover,Range Rover Evoque,2020,35500.0,29800
Volkswagen,Jetta,2007,5500.0,83495
Opel,Corsa,2019,9950.0,71600
Lexus,UX 300e,2020,24500.0,13661
SEAT,Arona,2023,19470.0,21452
Dodge,Charger,2017,27499.0,108765
BMW,318,2014,12990.0,169000
Renault,Twingo,2023,13900.0,9245
Hyundai,BAYON,2023,18990.0,17000
Nissan,Qashqai,2020,17920.0,86961
Citroen,C3,2022,13990.0,28866
Skoda,Fabia,2024,21990.0,7000
BMW,530,2021,39990.0,34000
BMW,X1,2022,25940.0,24524
Jaguar,F-Pace,2020,24799.0,100000
Peugeot,308,2015,7900.0,107280
Kia,Soul,2011,7445.0,86349
Toyota,C-HR,2022,20990.0,57831
Audi,A5,2022,35950.0,66350
Mercedes-Benz,EQB 300,2023,34929.0,9900
Volkswagen,Polo,2008,4449.0,114231
Jaguar,F-Pace,2024,98900.0,3500
Alfa-Romeo,159,2011,8475.0,133000
Dodge,RAM,2024,54900.0,348
Audi,A5,2014,11850.0,171106
Nissan,Micra,2012,4250.0,113187
Fiat,500X,2023,17400.0,29900
Jaguar,XJ6,1990,9999.0,119605
Land-Rover,Discovery Sport,2018,17900.0,125000
Cadillac,Deville,1976,16900.0,90000
Land-Rover,Discovery Sport,2017,19900.0,127000
Fiat,500e,2023,16500.0,5246
Ford,Ranger,2019,33486.0,31827
Volvo,XC90,2020,34262.0,62000
Alfa-Romeo,Giulietta,2013,10950.0,158942
Opel,Corsa,2012,2890.0,125000
Opel,Crossland,2022,13900.0,26309
Nissan,Micra,2016,9999.0,104384
Peugeot,3008,2020,17900.0,55934
Volkswagen,Polo,2015,9970.0,96280
Toyota,Prius,2015,12950.0,126004
Lamborghini,Gallardo,2009,139000.0,33000
Aston-Martin,V8,2018,97700.0,86000
Fiat,Tipo,2020,10450.0,99990
Kia,Ceed / cee'd,2021,15900.0,18000
Nissan,Micra,2021,12900.0,68000
Opel,Agila,2013,4900.0,113335
Toyota,Yaris Cross,2024,25490.0,1
Alfa-Romeo,Giulietta,2011,7845.0,183508
Toyota,Yaris Cross,2023,25990.0,13649
Fiat,500X,2020,15200.0,36800
Dacia,Duster,2019,13900.0,85000
Fiat,Panda,2024,13800.0,16500
Suzuki,Vitara,2016,9990.0,97570
Chevrolet,Camaro,2014,17995.0,149760
Audi,A6,2015,20500.0,156000
Suzuki,Baleno,2017,9749.0,115409
Volvo,C40,2022,33990.0,16437
Porsche,Cayman,2017,59990.0,74215
Alfa-Romeo,159,2006,1300.0,271500
Jaguar,F-Pace,2017,18900.0,135000
Cadillac,Eldorado,2000,11900.0,193000
Volvo,S60,2009,3500.0,275264
Toyota,C-HR,2023,22990.0,37120
Land-Rover,Range Rover,2003,3900.0,259200
Hyundai,i30,2024,21490.0,19672
Alfa-Romeo,147,2009,3800.0,144000
Renault,Laguna,2003,990.0,99500
Volkswagen,Tiguan,2020,26999.0,69000
Nissan,X-Trail,2025,39870.0,5
Dodge,RAM,2023,78650.0,67000
Hyundai,i30,2024,23490.0,10
Hyundai,i10,2022,12980.0,16987
Suzuki,Jimny,2020,57950.0,34520
Mercedes-Benz,E 300,2019,30900.0,110164
Skoda,Kodiaq,2025,44780.0,500
Land-Rover,Range Rover Evoque,2017,14950.0,168000
Peugeot,208,2018,9890.0,67000
Toyota,C-HR,2018,16480.0,43600
Citroen,C3,2025,15550.0,5333
CUPRA,Formentor,2022,28450.0,37470
Maserati,Grecale,2024,68900.0,15000
Alfa-Romeo,Tonale,2024,29900.0,14000
Renault,Koleos,2021,22990.0,61555
